x	 u	 u_exact
0.726295	0.985884	0.988929
0.727273	0.986832	0.989821
0.728250	0.987512	0.990677
0.729228	0.988458	0.991495
0.730205	0.989278	0.992276
0.731183	0.989852	0.993019
0.732160	0.990699	0.993724
0.733138	0.991384	0.994393
0.734115	0.991856	0.995023
0.735093	0.992606	0.995617
0.736070	0.993147	0.996172
0.737048	0.993525	0.996690
0.738025	0.994176	0.997171
0.739003	0.994568	0.997614
0.739980	0.994860	0.998019
0.740958	0.995406	0.998387
0.741935	0.995645	0.998717
0.742913	0.995864	0.999009
0.743891	0.996294	0.999263
0.744868	0.996381	0.999480
0.745846	0.996537	0.999659
0.746823	0.996834	0.999801
0.747801	0.996777	0.999905
0.748778	0.996879	0.999971
0.749756	0.997025	0.999999
0.750733	0.996838	0.999989
0.751711	0.996887	0.999942
0.752688	0.996862	0.999857
0.753666	0.996571	0.999735
0.754643	0.996558	0.999574
0.755621	0.996346	0.999376
0.756598	0.995981	0.999141
0.757576	0.995882	0.998867
0.758553	0.995481	0.998556
0.759531	0.995072	0.998208
0.760508	0.994852	0.997821
0.761486	0.994276	0.997397
0.762463	0.993842	0.996935
0.763441	0.993458	0.996436
0.764418	0.992745	0.995899
0.765396	0.992284	0.995325
0.766373	0.991700	0.994713
0.767351	0.990901	0.994063
0.768328	0.990382	0.993376
0.769306	0.989584	0.992652
0.770283	0.988752	0.991890
0.771261	0.988119	0.991091
0.772239	0.987130	0.990254
0.773216	0.986295	0.989380
0.774194	0.985482	0.988468
0.775171	0.984361	0.987520
0.776149	0.983512	0.986534
0.777126	0.982473	0.985511
0.778104	0.981298	0.984450
0.779081	0.980375	0.983353
0.780059	0.979113	0.982218
0.781036	0.977944	0.981047
0.782014	0.976858	0.979838
0.782991	0.975438	0.978592
0.783969	0.974279	0.977310
0.784946	0.972959	0.975990
0.785924	0.971481	0.974634
0.786901	0.970262	0.973241
0.787879	0.968705	0.971812
0.788856	0.967248	0.970345
0.789834	0.965858	0.968842
0.790811	0.964146	0.967303
0.791789	0.962707	0.965727
0.792766	0.961067	0.964114
0.793744	0.959322	0.962466
0.794721	0.957805	0.960781
0.795699	0.955932	0.959059
0.796676	0.954232	0.957302
0.797654	0.952504	0.955508
0.798631	0.950519	0.953678
0.799609	0.948820	0.951813
0.800587	0.946824	0.949911
0.801564	0.944862	0.947974
0.802542	0.943019	0.946001
0.803519	0.940838	0.943992
0.804497	0.938926	0.941948
0.805474	0.936816	0.939868
0.806452	0.934614	0.937752
0.807429	0.932625	0.935601
0.808407	0.930277	0.933415
0.809384	0.928144	0.931194
0.810362	0.925912	0.928938
0.811339	0.923495	0.926646
0.812317	0.921340	0.924320
0.813294	0.918836	0.921958
0.814272	0.916492	0.919562
0.815249	0.914121	0.917131
0.816227	0.911510	0.914666
0.817204	0.909181	0.912166
0.818182	0.906521	0.909632
0.819159	0.903982	0.907063
0.820137	0.901457	0.904461
0.821114	0.898666	0.901824
0.822092	0.896163	0.899153
0.823069	0.893341	0.896448
0.824047	0.890624	0.893709
0.825024	0.887934	0.890937
0.826002	0.884974	0.888131
0.826979	0.882302	0.885291
0.827957	0.879309	0.882418
0.828935	0.876432	0.879512
0.829912	0.873565	0.876573
0.830890	0.870445	0.873600
0.831867	0.867610	0.870595
0.832845	0.864438	0.867557
0.833822	0.861418	0.864486
0.834800	0.858362	0.861382
0.835777	0.855096	0.858246
0.836755	0.852097	0.855078
0.837732	0.848743	0.851877
0.838710	0.845598	0.848644
0.839687	0.842338	0.845379
